City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tilichiki,64,RU,1551924909,85,60.47,166.1,23.26,9.66
Riberalta,12,BO,1551924909,94,-11,-66.08,76.72,2.39
Sechura,80,PE,1551924758,76,-5.56,-80.82,78.16,7.76
Stephenville,1,US,1551924906,42,32.22,-98.2,50,9.17
Qena,0,EG,1551920400,66,26.16,32.72,55.4,2.24
Upernavik,0,GL,1551924912,100,72.79,-56.15,3.46,19.51
Ahmadnagar,0,IN,1551924912,53,19.09,74.75,64.7,4.18
Rameshki,0,RU,1551924912,74,57.35,36.05,9.89,12.68
Alofi,75,NU,1551920400,69,-19.06,-169.92,82.4,12.75
Bosaso,80,SO,1551924913,100,11.28,49.18,76.27,1.72
Nynashamn,92,SE,1551924867,100,58.9,17.95,37,10.29
Repatriacion,20,PY,1551924914,92,-25.53,-55.95,74.42,3.18
Mahibadhoo,8,MV,1551924916,100,3.78,72.97,82.48,6.53
Cedar Rapids,1,US,1551924728,67,41.98,-91.67,26.6,4.7
Obo,80,CF,1551924918,89,5.39,26.49,67.99,8.66
Bar Harbor,1,US,1551924918,55,44.39,-68.2,16,5.82
Tanete,88,ID,1551924920,73,-3.94,119.78,83.92,14.36
Hervey Bay,40,AU,1551924910,62,-25.3,152.85,89.01,12.75
Gaeta,32,IT,1551924913,78,41.22,13.56,54,1.61
Zhangye,20,CN,1551924921,75,38.94,100.46,39.37,6.64
Husavik,0,CA,1551924871,77,50.56,-96.99,1.99,2.62
Bathsheba,20,BB,1551920400,73,13.22,-59.52,77,16.11
Ullapool,92,GB,1551924919,80,57.9,-5.16,43,7
Lorengau,8,PG,1551924922,100,-2.02,147.27,82.7,0.6
Harper,1,US,1551924861,52,30.3,-99.24,48,5.82
Capreol,75,CA,1551924091,65,46.71,-80.92,5,8.05
Henties Bay,48,NA,1551924185,92,-22.12,14.28,64,4
Hamilton,40,BM,1551924103,59,32.3,-64.78,61,20.8
Marfino,0,RU,1551923843,72,56.07,37.56,16,4.47
Hokitika,100,NZ,1551924924,96,-42.72,170.96,62.54,19.84
Grand Bank,75,CA,1551924630,92,47.1,-55.77,26.01,16.11
Axim,20,GH,1551924925,96,4.87,-2.24,83.87,12.12
Nelson,88,CA,1551924926,81,49.49,-117.29,20.83,1.95
Samarai,32,PG,1551924926,100,-10.62,150.67,83.15,4.41
Santona,40,ES,1551924666,71,43.44,-3.46,52,23.04
Peterongan,40,ID,1551922200,78,-7.54,112.28,80.6,6.93
Mount Gambier,44,AU,1551920400,42,-37.83,140.78,62.6,10.29
Muros,75,ES,1551924905,87,42.77,-9.06,48.99,2.24
Nueva Loja,48,EC,1551924818,90,0.08,-76.88,74.11,1.95
Cabo San Lucas,75,MX,1551924626,43,22.89,-109.91,75.2,6.2
Culiacan,36,MX,1551924858,71,24.8,-107.39,73,3
Port Blair,20,IN,1551920400,88,11.67,92.75,75.2,2.24
Itaituba,0,BR,1551924929,88,-4.26,-55.99,75.14,3.18
Oranjemund,80,ZA,1551924929,95,-28.55,16.43,63.76,3.62
Satu Mare,44,RO,1551924651,56,47.79,22.88,42.8,9.17
Pacifica,90,US,1551924793,87,37.61,-122.49,55.4,14.99
Xai-Xai,76,MZ,1551924930,100,-25.04,33.64,77.08,8.99
Tautira,40,PF,1551924784,66,-17.73,-149.15,87.8,8.05
Cockburn Town,8,TC,1551924826,98,21.46,-71.14,78.34,11.56
Harrislee,92,DE,1551924904,100,54.8,9.39,48.99,5.82
Rawson,20,AR,1551921600,27,-43.3,-65.11,77,9.17
Dunmore Town,0,BS,1551924858,100,25.5,-76.65,70.37,17.49
Rio Gallegos,0,AR,1551920400,70,-51.62,-69.22,42.8,10.29
Gafanha da Encarnacao,40,PT,1551924530,71,40.62,-8.73,51.01,2.24
Isla Vista,75,US,1551924927,87,34.41,-119.86,57.99,9.17
Kavaratti,0,IN,1551924934,100,10.57,72.64,82.03,12.8
Buta,92,CD,1551924935,99,2.79,24.73,69.92,2.62
Boca do Acre,12,BR,1551924936,91,-8.76,-67.39,78.29,1.61
Ketchikan,1,US,1551923760,56,55.34,-131.65,44.6,13.87
Sungaipenuh,12,ID,1551924936,78,-2.08,101.38,76.9,1.61
Jucas,76,BR,1551924937,96,-6.53,-39.53,69.43,2.06
Taywarah,12,AF,1551924937,75,33.35,64.42,18.85,3.51
Bilibino,48,RU,1551924937,77,68.06,166.44,7.87,3.18
Sibolga,20,ID,1551924938,84,1.74,98.78,78.92,2.28
Anadyr,75,RU,1551924789,85,64.73,177.51,23,4.47
Leningradskiy,80,RU,1551924938,100,69.38,178.42,8.68,4.85
Jagdalpur,0,IN,1551924939,36,19.09,82.02,72.67,4.63
Kharian,20,PK,1551924000,93,32.81,73.87,51.8,3.36
Sao Joao da Barra,68,BR,1551924940,100,-21.64,-41.05,79.55,9.44
Zykovo,0,RU,1551924729,63,55.24,40.35,7,1.01
Morgan City,1,US,1551924940,70,29.7,-91.21,48.99,7.65
Karacakoy,0,TR,1551924867,86,41.4,28.38,43,11.41
Pangnirtung,44,CA,1551924941,67,66.15,-65.72,-9.87,6.42
Ambulu,92,ID,1551924941,100,-8.35,113.61,74.83,16.04
Chimore,88,BO,1551924942,95,-16.98,-65.13,74.56,2.62
Bukama,44,CD,1551924942,92,-9.2,25.85,69.07,2.51
Nizwa,0,OM,1551924943,80,22.93,57.53,49.81,1.61
Westport,80,IE,1551924784,85,53.8,-9.52,43,13
Wattegama,0,LK,1551924944,88,7.35,80.68,76.22,3.74
Alakurtti,80,RU,1551924834,91,66.96,30.34,6.01,1.99
Constitucion,75,MX,1551924617,9,23.99,-104.67,75.2,10.29
Mount Isa,0,AU,1551922200,26,-20.73,139.49,93.2,10.29
Yining,92,CN,1551924945,59,29.04,114.56,49.09,3.29
Valentigney,0,CH,1551924782,43,47.46,6.83,50,16.11
Great Falls,90,US,1551924831,92,47.5,-111.29,7,4.18
Tupik,0,RU,1551924946,60,54.43,119.94,26.72,3.62
Labuhan,48,ID,1551924947,71,-2.54,115.51,83.38,2.84
Ahipara,44,NZ,1551924304,77,-35.17,173.16,82.99,1.01
Tual,20,ID,1551924947,100,-5.67,132.75,83.69,4.18
Gat,0,SN,1551922200,77,14.69,-16.54,64.4,20.8
Katobu,76,ID,1551924948,92,-4.94,122.53,83.65,6.76
Boyabat,56,TR,1551924949,86,41.47,34.77,27.04,2.17
Fortuna,0,ES,1551924933,44,38.18,-1.13,57.2,3.36
Abalak,0,NE,1551924949,39,15.46,6.28,61.55,4.41
Monroe,90,US,1551924911,62,41.91,-83.4,23,6.93
Little Current,90,CA,1551924124,84,45.98,-81.93,7,2.24
Juegang,0,CN,1551924876,64,32.31,121.18,52,16.71
Aswan,0,EG,1551920400,28,24.09,32.9,57.2,5.82
Ada,40,US,1551924948,84,47.3,-96.52,3.99,5.82
Tayu,20,JP,1551924852,62,35.06,136.67,62.01,21.92
Morant Bay,20,JM,1551920400,54,17.88,-76.41,80.6,9.17
Morden,1,CA,1551923964,91,49.19,-98.1,1,11.41
Jabonga,48,PH,1551924953,89,9.34,125.52,80.72,13.02
Constantine,0,DZ,1551922200,43,36.36,6.61,53.6,10.29
Ayorou,0,NE,1551924953,28,14.73,0.92,58.04,2.73
Gamboma,48,CG,1551924954,94,-1.87,15.88,69.02,11.01
Kita,75,JP,1551924921,87,35.76,139.74,52,14.99
Ponta Delgada,75,PT,1551924939,100,37.73,-25.67,59,11.41
Ahuimanu,40,US,1551924787,60,21.44,-157.84,75.2,17.22
Sinnamary,92,GF,1551924955,96,5.38,-52.96,79.1,13.35
Lampa,0,CL,1551924932,24,-33.29,-70.87,71.6,8.05
Nouadhibou,0,MR,1551920400,82,20.93,-17.03,62.6,21.92
High Level,20,CA,1551924000,61,58.52,-117.13,14,5.82
Hasaki,75,JP,1551924823,87,35.73,140.83,48.2,19.46
Calama,0,CL,1551920400,39,-22.46,-68.93,64.4,12.75
Raudeberg,76,NO,1551924904,65,61.99,5.14,41,8.05
Aksu,90,KZ,1551922200,92,52.04,76.93,24.8,8.95
San Quintin,0,PH,1551924958,48,17.54,120.52,86.17,3.74
Lasa,92,CY,1551924957,77,34.92,32.53,59,13.87
Thunder Bay,75,CA,1551924928,51,48.41,-89.26,10.4,12.75
Kumbo,12,CM,1551924960,81,6.21,10.69,61.78,0.6
Kholm-Zhirkovskiy,0,RU,1551924960,76,55.52,33.47,9.04,7.76
Bastia,75,IT,1551924951,93,44.6,8.98,55.99,23.04
Mandali,0,IQ,1551924961,69,33.75,45.55,44.45,5.64
Jeronimo Monteiro,12,BR,1551924961,94,-20.79,-41.4,69.07,2.51
Jishou,92,CN,1551924962,100,28.26,109.7,46.34,11.23
Simpang,75,MY,1551920400,88,4.82,100.71,78.8,3.36
Sambava,68,MG,1551924963,100,-14.27,50.17,75.01,1.83
Lompoc,90,US,1551924951,82,34.64,-120.46,57.2,10.29
Hobyo,0,SO,1551924963,89,5.35,48.53,76.36,12.12
Karatsu,75,JP,1551924905,66,33.45,129.97,55,18.34
San Joaquin,0,PH,1551924964,50,10.59,122.14,87.29,14.03
Jiaocheng,92,CN,1551924965,100,24.68,116.14,54.8,2.84
Abonnema,24,NG,1551924965,95,4.71,6.79,73.66,4.63
Igrim,88,RU,1551924965,87,63.19,64.42,30.59,7.43
Mandalgovi,0,MN,1551924966,84,45.76,106.27,28.39,5.19
Berlevag,76,NO,1551924966,100,70.86,29.09,25.82,13.47
Bagotville,90,AU,1551924925,88,-28.98,153.42,82.4,16.11
Dingle,0,PH,1551924967,50,11,122.67,87.29,14.03
Jatiroto,88,ID,1551924967,100,-7.61,109.46,80.9,5.86
Jaisalmer,12,IN,1551924967,62,26.91,70.91,60.79,2.06
Coahuayana,0,MX,1551924968,62,18.62,-100.35,68.08,2.06
Tura,0,IN,1551924968,60,25.52,90.21,68.44,2.73
Nanortalik,88,GL,1551924968,93,60.14,-45.24,31.9,14.7
Manokwari,32,ID,1551924787,100,-0.87,134.08,81.17,4.07
Paciran,92,ID,1551924969,100,-6.9,112.33,75.46,5.53
Santa Maria,75,BR,1551920400,78,-29.69,-53.81,75.2,6.93
Mayskiy,75,RU,1551920400,86,43.63,44.06,41,5.19
Kutum,0,SD,1551924971,34,14.2,24.66,56.2,8.66
Monduli,40,TZ,1551920400,82,-3.3,36.45,64.4,5.82
Wuwei,68,CN,1551924972,62,37.93,102.64,35.72,2.73
Presidencia Roque Saenz Pena,92,AR,1551924972,96,-26.79,-60.44,73.79,5.64
Kawalu,92,ID,1551924973,95,-7.38,108.21,70.37,2.17
Katangli,0,RU,1551924973,100,51.71,143.23,20.24,6.64
Ancud,75,CL,1551920400,82,-41.87,-73.83,55.4,4.7
Provideniya,0,RU,1551922200,57,64.42,-173.23,23,8.95
Rancho Palos Verdes,90,US,1551924969,87,33.75,-118.37,61,9.17
Adrar,0,DZ,1551920400,11,27.87,-0.29,64.4,5.82
Usta Muhammad,0,PK,1551924975,67,28.18,68.05,56.83,4.74
Quatre Cocos,20,MU,1551924844,88,-20.21,57.76,75.2,2.24
Salisbury,68,GB,1551924966,86,51.07,-1.8,45,11.41
Bhinmal,0,IN,1551924976,42,25.01,72.27,67.9,0.6
Yar-Sale,88,RU,1551924976,89,66.83,70.83,17.86,8.43
Sokolo,0,ML,1551924977,50,14.74,-6.12,57.05,4.07
Sao Gabriel da Cachoeira,0,BR,1551924977,87,-0.13,-67.09,78.43,2.17
Darhan,24,MN,1551924977,27,49.49,105.92,42.34,9.22
Atbasar,64,KZ,1551924978,89,51.81,68.36,26.95,16.37
Mwinilunga,88,ZM,1551924978,97,-11.73,24.43,60.88,2.28
Rovenki,80,RU,1551924979,94,49.91,38.89,24.29,8.99
Mago,0,RU,1551924979,53,53.27,140.15,22.81,3.18
Kununurra,0,AU,1551922200,47,-15.77,128.74,95,3.36
Huejuquilla el Alto,24,MX,1551924980,42,22.63,-103.9,58.22,2.39
Atambua,68,ID,1551924980,100,-9.11,124.89,82.25,7.65
Kodinsk,0,RU,1551924980,67,58.6,99.18,19.03,3.4
Richards Bay,0,ZA,1551924981,93,-28.77,32.06,72.35,10
Nyurba,0,RU,1551924981,60,63.29,118.35,21.46,9.22
Mezen,32,RU,1551924981,74,65.85,44.24,15.02,8.43
Elko,1,US,1551924788,75,40.83,-115.76,44.6,3.36
Shawville,56,CA,1551924952,60,45.61,-76.49,7,2.84
Granja,48,BR,1551924982,96,-3.12,-40.83,73.48,6.64
Saint-Georges,36,CA,1551924144,88,46.12,-70.67,9,6.87
Ballina,88,IE,1551924784,83,54.11,-9.15,43,3
Vila Velha,75,BR,1551924636,88,-3.71,-38.6,79,4.7
Arauco,90,CL,1551922740,93,-37.25,-73.32,60.8,6.93
Magalia,75,US,1551924911,67,39.81,-121.58,57.2,20.8
La Ronge,5,CA,1551920400,56,55.1,-105.3,12.2,3.36
Bykovo,56,RU,1551924985,90,49.76,45.39,31.22,8.43
Novikovo,0,UA,1551924986,100,45.05,34.56,33.07,2.95
Basco,90,US,1551924982,75,40.33,-91.2,33.01,5.82
Luba,0,PH,1551924986,48,17.32,120.7,86.17,3.74
Orlovskiy,76,RU,1551924987,89,46.87,42.05,36.31,7.31
Laguna,90,MX,1551922800,40,27.52,-110.01,73.4,2.24
Chaibasa,75,IN,1551920400,77,22.55,85.81,68,3.29
Lima,0,PE,1551924905,83,-12.06,-77.04,73.99,9.17
Shahreza,0,IR,1551924989,70,32.01,51.87,11.83,2.95
Santa Barbara,90,US,1551924702,87,34.42,-119.7,59,5.82
Santa Catalina,20,PH,1551920400,70,9.33,122.86,84.2,9.17
Vicksburg,1,US,1551924098,60,32.35,-90.88,46.4,3.29
Paka,0,HR,1551922200,70,45.29,18.06,44.6,10.29
Egvekinot,44,RU,1551924992,80,66.32,-179.17,14.12,2.95
Montlucon,8,FR,1551924069,87,46.33,2.6,44.01,5.01
Kaa-Khem,36,RU,1551924992,80,51.7,94.56,23.12,4.85
Atar,0,MR,1551924993,34,20.52,-13.05,56.15,8.43
Nador,0,MA,1551922200,67,35.17,-2.93,59,14.99
Saint-Francois,75,FR,1551924114,81,46.42,3.91,48.2,9.17
Aripuana,32,BR,1551924994,89,-9.17,-60.63,77.98,3.18
Bulaevo,92,KZ,1551924994,94,54.91,70.44,35.23,19.39
Popondetta,64,PG,1551924995,87,-8.77,148.24,77.8,2.28
Mahasamund,0,IN,1551924995,43,21.11,82.1,71.14,4.74
Belmonte,64,PT,1551924918,93,40.36,-7.35,39,3.29
Vanimo,12,PG,1551924996,100,-2.67,141.3,83.15,6.98
Zhigansk,80,RU,1551924996,72,66.77,123.37,22.94,7.87
Alice Springs,0,AU,1551922200,17,-23.7,133.88,82.4,9.17
Grindavik,75,IS,1551924557,74,63.84,-22.43,28.99,19.46
Kulhudhuffushi,92,MV,1551924997,100,6.62,73.07,81.94,4.41
Batsfjord,56,NO,1551924997,100,70.63,29.72,31.04,21.18
San Buenaventura,48,MX,1551924998,70,27.06,-101.55,42.65,2.62
Gornopravdinsk,88,RU,1551924998,85,60.06,69.92,35,12.24
Birjand,0,IR,1551920400,60,32.86,59.22,42.8,13.87
Kushiro,20,JP,1551920400,54,43.11,144.15,30.2,10.29
Xinmin,0,CN,1551922200,34,42,122.83,35.6,4.47
Viedma,80,AR,1551925000,28,-40.81,-62.99,80,18.84
Saint-Joseph,90,FR,1551924999,76,43.56,6.97,57.2,1.12
Ginda,0,IN,1551920400,87,30.69,78.49,50,3.36
Spalding,90,GB,1551924995,100,52.79,-0.15,46.99,13.87
Warri,0,NG,1551924714,94,5.52,5.75,74.92,5.75
Lichinga,88,MZ,1551925002,97,-13.3,35.25,65.02,8.99
Whitehorse,5,CA,1551924993,37,60.72,-135.06,19.4,2.24
Vilhena,0,BR,1551925003,92,-12.74,-60.15,72.8,1.95
Dosso,0,NE,1551925004,29,13.05,3.19,74.11,8.1
Sinazongwe,56,ZM,1551925004,66,-17.26,27.46,77.39,8.43
Neuquen,75,AR,1551920400,31,-38.95,-68.06,73.4,17.22
Yarada,20,IN,1551922200,88,17.65,83.27,78.8,3.36
Lazarev,0,RU,1551925005,72,52.23,141.51,20.65,2.51
Praya,75,ID,1551922200,88,-8.71,116.27,80.6,6.93
Maliq,0,AL,1551925006,100,40.71,20.7,30.19,2.17
Takoradi,36,GH,1551925007,99,4.89,-1.75,82.66,9.33
Sao Paulo de Olivenca,36,BR,1551925007,86,-3.38,-68.87,76.99,2.62
Capinopolis,64,BR,1551924908,90,-18.68,-49.57,71.05,4.41
Saint Anthony,90,US,1551924938,86,43.97,-111.68,37.4,8.05
Talavera de la Reina,0,ES,1551925008,84,39.96,-4.83,33.52,3.29
Paamiut,80,GL,1551925008,90,61.99,-49.67,33.16,45.45
Hede,92,SE,1551924971,100,60.45,15.49,30,8.05
Suntar,0,RU,1551925009,60,62.16,117.65,21.64,8.66
Kaeo,0,NZ,1551924485,65,-35.1,173.78,82.99,11.99
Skibbereen,40,IE,1551922200,86,51.55,-9.27,41,13.87
Sioux Lookout,90,CA,1551923220,60,50.1,-91.92,5,6.93
Manuk Mangkaw,20,PH,1551925010,96,4.8,119.85,83.65,1.61
Blagoyevo,76,RU,1551925010,78,63.37,47.92,10.3,8.21
Cayenne,75,GF,1551922200,83,4.94,-52.33,78.8,3.36
Antalaha,76,MG,1551925011,100,-14.9,50.28,74.11,3.74
Ankang,92,CN,1551925011,67,32.73,108.99,38.38,3.51
Nicoya,20,CR,1551920400,69,10.15,-85.45,78.8,24.16
Weihai,0,CN,1551924937,73,37.5,122.11,52,18.05
Umm Kaddadah,0,SD,1551925016,25,13.6,26.69,61.1,11.79
Carlos Barbosa,20,BR,1551924998,84,-29.3,-51.5,75,1.01
Ranong,20,TH,1551920400,94,9.96,98.62,77,4.63
Mizan Teferi,80,ET,1551925017,88,6.99,35.58,62.09,1.95
Cornwall,90,CA,1551924903,71,45.02,-74.73,8.01,4.63
Catumbela,36,AO,1551925017,88,-12.43,13.55,69.25,3.18
Neiafu,40,TO,1551920400,74,-18.65,-173.98,84.2,5.82
Santa Vitoria do Palmar,12,BR,1551925018,92,-33.52,-53.37,74.74,11.45
Vagur,68,FO,1551925018,100,61.47,-6.81,41.84,32.82
Parabel,88,RU,1551925019,84,58.71,81.5,24.16,11.56
Alta Floresta,68,BR,1551925019,94,-9.87,-56.08,74.74,2.06
Souillac,44,FR,1551924970,93,45.6,-0.6,51.01,6.93
Maloy,88,ID,1551925020,100,1,118.1,79.19,2.17
Nuzvid,20,IN,1551922200,94,16.79,80.85,77,4.41
Samfya,80,ZM,1551925021,100,-11.37,29.56,64.25,0.83
Ekibastuz,0,KZ,1551925021,86,51.72,75.32,22.18,11.9
King City,20,US,1551924613,58,36.21,-121.13,57.2,13.87
The Valley,75,AI,1551924110,78,18.22,-63.06,77,11.41
Kibungo,40,RW,1551924770,93,-2.14,30.55,60.8,5.82
Santiago,0,CL,1551924722,24,-33.44,-70.65,71.6,8.05
Bammatyurt,56,RU,1551925026,90,43.34,46.61,32.62,6.42
Curvelo,48,BR,1551925026,92,-18.76,-44.43,68.26,2.28
Ngorongoro,92,TZ,1551925027,92,-3.24,35.49,59.3,2.51
